"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","referer","accept_language","stimulus","key_press","trial_info","stage","correct_response","valence","i_block","negative_tone","positive_tone","positive_key","frequency","correct","distance","i_generalization_trial","tone","valence_match","responses"
"","0","audio-keyboard-response","46","101382","0.0-4.0-1.4","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/280","80","","generalization","space","negative","0","300","700","q","","false","-20","4","280","true",""
"","null","html-keyboard-response","47","102388","0.0-4.0-2.4","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","48","102893","0.0-4.0-0.5","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","null","[object Object]","","","","","","","","","","","","","",""
"","59","audio-keyboard-response","49","102958","0.0-4.0-1.5","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/400","80","","generalization","space","negative","0","300","700","q","","false","100","5","400","true",""
"","null","html-keyboard-response","50","103964","0.0-4.0-2.5","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","51","104472","0.0-4.0-0.6","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","null","[object Object]","","","","","","","","","","","","","",""
"","null","audio-keyboard-response","52","106980","0.0-4.0-1.6","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/320","null","","generalization","space","negative","0","300","700","q","","false","20","6","320","",""
"","null","html-keyboard-response","53","107992","0.0-4.0-2.6","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<p style='font-weight:bold; color: red; font-size=100%'> - $0.40<br>RESPOND FASTER!</p>","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","54","108498","0.0-4.0-0.7","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","null","[object Object]","","","","","","","","","","","","","",""
"","501","audio-keyboard-response","55","108999","0.0-4.0-1.7","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/700","80","","generalization","q","positive","0","300","700","q","","false","0","7","","false",""
"","null","html-keyboard-response","56","110002","0.0-4.0-2.7","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","57","110513","0.0-4.0-0.8","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","null","[object Object]","","","","","","","","","","","","","",""
"","91","audio-keyboard-response","58","110613","0.0-4.0-1.8","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/720","81","","generalization","space","positive","0","300","700","q","","false","20","8","720","true",""
"","null","html-keyboard-response","59","111623","0.0-4.0-2.8","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","60","112129","0.0-4.0-0.9","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","null","[object Object]","","","","","","","","","","","","","",""
"","null","audio-keyboard-response","61","114635","0.0-4.0-1.9","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/680","null","","generalization","space","positive","0","300","700","q","","false","-20","9","680","",""
"","null","html-keyboard-response","62","115642","0.0-4.0-2.9","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<p style='font-weight:bold; color: red; font-size=100%'> - $0.40<br>RESPOND FASTER!</p>","null","","","","","","","","","","","","","","",""
"","2312","html-keyboard-response","63","117959","0.0-5.0","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","bonus earned during this period: $0.00<br><br>Press any key to continue.","81","","","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":10181}]","10181","instructions","64","128141","0.0-6.0","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","","","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","65","129557","0.0-7.0-0.0","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<div style=""font-size:120%; top:20%""></div>","null","[object Object]","","","","","","","","","","","","","",""
"","800","audio-keyboard-response","66","130359","0.0-7.0-1.0","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/300","81","","acquisition","p","negative","1","300","700","q","300","","","","","",""
"","null","html-keyboard-response","67","131472","0.0-7.0-2.0","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<font size=""100%"" weight=bold> - $0.04</font>","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","68","132983","0.0-7.0-0.1","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<div style=""font-size:120%; top:20%""></div>","null","[object Object]","","","","","","","","","","","","","",""
"","37","audio-keyboard-response","69","133026","0.0-7.0-1.1","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/700","81","","acquisition","q","positive","1","300","700","q","700","","","","","",""
"","null","html-keyboard-response","70","134134","0.0-7.0-2.1","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<font size=""100%"" weight=bold> + $0.00 </font>","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","71","135646","0.0-7.0-0.2","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<div style=""font-size:120%; top:20%""></div>","null","[object Object]","","","","","","","","","","","","","",""
"","437","audio-keyboard-response","72","136090","0.0-7.0-1.2","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/500","81","","acquisition","","neutral","1","300","700","q","500","","","","","",""
"","null","html-keyboard-response","73","137199","0.0-7.0-2.2","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<font size=""100%""></font>","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","74","138722","0.0-7.0-0.3","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<div style=""font-size:120%; top:20%""></div>","null","[object Object]","","","","","","","","","","","","","",""
"","763","audio-keyboard-response","75","141233","0.0-7.0-1.3","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/700","81","","acquisition","","positive","1","300","700","q","700","true","","","","",""
"","null","html-keyboard-response","76","142343","0.0-7.0-2.3","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<font size=""100%"" weight=bold> + $0.04</font>","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","77","143857","0.0-7.0-0.4","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<div style=""font-size:120%; top:20%""></div>","null","[object Object]","","","","","","","","","","","","","",""
"","null","audio-keyboard-response","78","146368","0.0-7.0-1.4","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/300","null","","acquisition","","negative","1","300","700","q","300","false","","","","",""
"","null","html-keyboard-response","79","147478","0.0-7.0-2.4","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<font size=""100%"" weight=bold> - $0.04</font>","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","80","148990","0.0-7.0-0.5","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<div style=""font-size:120%; top:20%""></div>","null","[object Object]","","","","","","","","","","","","","",""
"","277","audio-keyboard-response","81","149275","0.0-7.0-1.5","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/300","81","","acquisition","p","negative","1","300","700","q","300","","","","","",""
"","null","html-keyboard-response","82","150384","0.0-7.0-2.5","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<font size=""100%"" weight=bold> - $0.04</font>","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","83","151899","0.0-7.0-0.6","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<div style=""font-size:120%; top:20%""></div>","null","[object Object]","","","","","","","","","","","","","",""
"","1200","audio-keyboard-response","84","153103","0.0-7.0-1.6","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/500","81","","acquisition","","neutral","1","300","700","q","500","","","","","",""
"","null","html-keyboard-response","85","154208","0.0-7.0-2.6","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<font size=""100%""></font>","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","86","155724","0.0-7.0-0.7","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<div style=""font-size:120%; top:20%""></div>","null","[object Object]","","","","","","","","","","","","","",""
"","null","audio-keyboard-response","87","158230","0.0-7.0-1.7","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/700","null","","acquisition","q","positive","1","300","700","q","700","","","","","",""
"","null","html-keyboard-response","88","159344","0.0-7.0-2.7","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<font size=""100%"" weight=bold> + $0.00 </font>","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","89","160856","0.0-7.0-0.8","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<div style=""font-size:120%; top:20%""></div>","null","[object Object]","","","","","","","","","","","","","",""
"","347","audio-keyboard-response","90","163360","0.0-7.0-1.8","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/300","80","","acquisition","","negative","1","300","700","q","300","false","","","","",""
"","null","html-keyboard-response","91","164474","0.0-7.0-2.8","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<font size=""100%"" weight=bold> - $0.04</font>","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","92","165989","0.0-7.0-0.9","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","<div style=""font-size:120%; top:20%""></div>","null","[object Object]","","","","","","","","","","","","","",""
"","null","audio-keyboard-response","93","168497","0.0-7.0-1.9","3","1","2023-10-30 23:59:53","60d771905d4966a5e69ee61086df4a57","171.66.13.53","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36","Macintosh","Chrome","118.0.0.0","OS X","10_15_7","null","en-US,en;q=0.9","sound/700","null","","acquisition","","positive","1","300","700","q","700","true","","","","",""
